ticker,split,model,lookback,signature_level,forward,k_neighbors,signature_mmd,volatility,volatility_error,var_95,var_99,var_95_error,es_95,es_99,es_95_error,max_drawdown,max_drawdown_error,squared_return_acf_error
EURUSD=X,validation,historical_bootstrap,20,3,1,10,7.863377241306982e-05,0.077418519741797,0.007787733483006834,0.007145730311319926,0.01139383976015668,0.0015340590906677432,0.010405850954854943,0.014607672577161713,0.0006516563982609039,-0.04727752570405906,0.007291085549044611,0.027644243793049784
EURUSD=X,validation,signature_bootstrap,20,3,1,10,8.999746100249113e-06,0.07072975101705276,0.014476502207751082,0.006986719807960495,0.010224462522240567,0.001693069594027174,0.009514889553639189,0.01277987838627426,0.001542617799476658,-0.04225400285194545,0.012314608401158222,0.02480532039752676
SPY,validation,real,20,3,1,20,,0.18777849196639282,0.0,0.019493196967476346,0.02532593439381509,0.0,0.024085134516023936,0.028244347110469803,0.0,-0.10531734404489251,0.0,0.0
SPY,validation,historical_bootstrap,20,3,1,20,0.0015168620190740014,0.17774738868581086,0.01003110328058196,0.0165480653477423,0.03275146975983915,0.0029451316197340455,0.029044259973951502,0.04555678995154705,0.004959125457927566,-0.08992208132997967,0.015395262714912844,0.03688446274931155
SPY,validation,signature_bootstrap,20,3,1,20,0.0025646536486643753,0.12986929915029183,0.05790919281610099,0.013260759731895302,0.021882853788321794,0.006232437235581045,0.019983446570411834,0.027077889680764345,0.004101687945612102,-0.06451574282285359,0.04080160122203892,0.03908448211546427
EURUSD=X,validation,real,20,3,1,20,,0.08520625322480384,0.0,0.008679789401987669,0.011764545268720738,0.0,0.011057507353115847,0.013384970437742678,0.0,-0.05456861125310367,0.0,0.0
EURUSD=X,validation,historical_bootstrap,20,3,1,20,7.863377241306982e-05,0.077418519741797,0.007787733483006834,0.007145730311319926,0.01139383976015668,0.0015340590906677432,0.010405850954854943,0.014607672577161713,0.0006516563982609039,-0.04727752570405906,0.007291085549044611,0.027644243793049784
EURUSD=X,validation,signature_bootstrap,20,3,1,20,0.00035855685726310935,0.0713625958806375,0.013843657344166344,0.0066896683183002015,0.010025484613231089,0.0019901210836874676,0.009408209624958095,0.01338930996997732,0.001649297728157752,-0.037111765085817,0.017456846167286676,0.0245433963538151
SPY,validation,real,20,3,1,50,,0.18777849196639282,0.0,0.019493196967476346,0.02532593439381509,0.0,0.024085134516023936,0.028244347110469803,0.0,-0.10531734404489251,0.0,0.0
SPY,validation,historical_bootstrap,20,3,1,50,0.0015168620190740014,0.17774738868581086,0.01003110328058196,0.0165480653477423,0.03275146975983915,0.0029451316197340455,0.029044259973951502,0.04555678995154705,0.004959125457927566,-0.08992208132997967,0.015395262714912844,0.03688446274931155
SPY,validation,signature_bootstrap,20,3,1,50,0.0023534778788261235,0.12607250538200296,0.06170598658438986,0.012812690438411267,0.020843309471487,0.006680506529065079,0.01901084591154829,0.025384080727791435,0.005074288604475646,-0.06462009007583104,0.04069725396906147,0.03577415819578052
EURUSD=X,validation,real,20,3,1,50,,0.08520625322480384,0.0,0.008679789401987669,0.011764545268720738,0.0,0.011057507353115847,0.013384970437742678,0.0,-0.05456861125310367,0.0,0.0
EURUSD=X,validation,historical_bootstrap,20,3,1,50,7.863377241306982e-05,0.077418519741797,0.007787733483006834,0.007145730311319926,0.01139383976015668,0.0015340590906677432,0.010405850954854943,0.014607672577161713,0.0006516563982609039,-0.04727752570405906,0.007291085549044611,0.027644243793049784
EURUSD=X,validation,signature_bootstrap,20,3,1,50,0.0001196436343658198,0.06951102756102512,0.01569522566377872,0.006667325867704614,0.01007520066312578,0.0020124635342830552,0.009486412363471822,0.013497012597475853,0.001571094989644025,-0.04072110631500233,0.013847504938101343,0.025765291092566388
SPY,validation,real,20,3,1,100,,0.18777849196639282,0.0,0.019493196967476346,0.02532593439381509,0.0,0.024085134516023936,0.028244347110469803,0.0,-0.10531734404489251,0.0,0.0
SPY,validation,historical_bootstrap,20,3,1,100,0.0015168620190740014,0.17774738868581086,0.01003110328058196,0.0165480653477423,0.03275146975983915,0.0029451316197340455,0.029044259973951502,0.04555678995154705,0.004959125457927566,-0.08992208132997967,0.015395262714912844,0.03688446274931155
SPY,validation,signature_bootstrap,20,3,1,100,0.001861022554043702,0.12894166899092038,0.058836822975472436,0.012535980980359221,0.022733335258597,0.006957215987117125,0.020247692949429862,0.02824597224932447,0.003837441566594074,-0.0718023826922255,0.033514961352667016,0.029463861736189294
